Sort#,ParentFolderName,FileName,AccessionName,Sample,Condition,Species,ProportionSyriaca
121,New2022-03-0917-17-40,007-P1-C10-no Sample Name.D,L1,PMD1 1,Watered,Syriaca,0.9
122,New2022-03-0917-17-40,008-P1-C11-no Sample Name.D,L2,PG1-2 2,Watered,Hybrid,0.61
123,New2022-03-0917-17-40,009-P1-C12-no Sample Name.D,L3,Logan3 2,Watered,Speciosa,NA
124,New2022-03-0917-17-40,010-P1-D1-no Sample Name.D,L4,BMN1 1,Watered,Syriaca,0.92
125,New2022-03-0917-17-40,011-P1-D2-no Sample Name.D,L5,EDF 1,Watered,Speciosa,NA
126,New2022-03-0917-17-40,012-P1-D3-no Sample Name.D,L6,NTHS1 1,Watered,Hybrid,0.7
127,New2022-03-0917-17-40,013-P1-D4-no Sample Name.D,L7,SeaWa 1,Watered,Speciosa,NA
128,New2022-03-0917-17-40,014-P1-D5-no Sample Name.D,L8,Logan3 1,Watered,Speciosa,NA
129,New2022-03-0917-17-40,015-P1-D6-no Sample Name.D,L9,SAOH2 1,Watered,Syriaca,0.98
130,New2022-03-0917-17-40,016-P1-D7-no Sample Name.D,L10,PMD1 1,Watered,Syriaca,0.9
131,New2022-03-0917-17-40,017-1-no Sample Name.D,MeOH_Blank,MeOH_Blank,na,na,NA
132,New2022-03-0917-17-40,018-2-no Sample Name.D,Rutin_Standard,Rutin_Standard,na,na,NA
133,PP_SiouxFalls_080220212021-08-0215-23-25,001-P2-F3-no Sample Name.D,F16,BRPL1 1,Watered,Hybrid,0.83
134,PP_SiouxFalls_080220212021-08-0215-23-25,002-P2-F4-no Sample Name.D,F15,ShD1 2,Watered,Hybrid,0.65
135,PP_SiouxFalls_080220212021-08-0215-23-25,003-P2-F5-no Sample Name.D,F15,ShD1 2,Watered,Hybrid,0.65
136,PP_SiouxFalls_080220212021-08-0215-23-25,004-P2-F6-no Sample Name.D,F14,FF1 2,Watered,Syriaca,0.9
137,PP_SiouxFalls_080220212021-08-0215-23-25,005-P2-F7-no Sample Name.D,F13,EllWa 3,Watered,Speciosa,0
138,PP_SiouxFalls_080220212021-08-0215-23-25,006-P2-F8-no Sample Name.D,F12,EllWa 2,Watered,Speciosa,0
139,PP_SiouxFalls_080220212021-08-0215-23-25,007-P2-F9-no Sample Name.D,F11,FF1 1,Watered,Syriaca,0.9
140,PP_SiouxFalls_080220212021-08-0215-23-25,008-P2-F10-no Sample Name.D,F10,Ith17 1,Watered,Syriaca,0.99
141,PP_SiouxFalls_080220212021-08-0215-23-25,009-P2-F11-no Sample Name.D,O12,ShD1 4,Drought,Hybrid,0.65
142,PP_SiouxFalls_080220212021-08-0215-23-25,010-P2-F12-no Sample Name.D,O9,F1Cox1-8 1,Drought,Hybrid,NA
143,PP_SiouxFalls_080220212021-08-0215-23-25,011-P2-G1-no Sample Name.D,O8,SAOH2 4,Drought,Syriaca,0.98
144,PP_SiouxFalls_080220212021-08-0215-23-25,012-P2-G2-no Sample Name.D,O7,Taos2 3,Drought,Speciosa,NA
145,PP_SiouxFalls_080220212021-08-0215-23-25,013-P2-G3-no Sample Name.D,O6,Ith17 3,Drought,Syriaca,0.99
146,PP_SiouxFalls_080220212021-08-0215-23-25,014-P2-G4-no Sample Name.D,O5,NTHS1 5,Drought,Hybrid,0.7
147,PP_SiouxFalls_080220212021-08-0215-23-25,015-P2-G5-no Sample Name.D,O4,Logan3 4,Drought,Speciosa,NA
148,PP_SiouxFalls_080220212021-08-0215-23-25,016-P2-G6-no Sample Name.D,O3,PG1-2 3,Drought,Hybrid,0.61
149,PP_SiouxFalls_080220212021-08-0215-23-25,017-P2-G7-no Sample Name.D,F1,BRPL1 1,Watered,Hybrid,0.83
150,PP_SiouxFalls_080220212021-08-0215-23-25,018-P2-G8-no Sample Name.D,E16,PMD1 3,Drought,Syriaca,0.9
151,PP_SiouxFalls_080220212021-08-0215-23-25,019-P2-G9-no Sample Name.D,E15,Lola1 4,Drought,Speciosa,0
152,PP_SiouxFalls_080220212021-08-0215-23-25,020-P2-G10-no Sample Name.D,E14,MCN1 2,Drought,Speciosa,0
153,PP_SiouxFalls_080220212021-08-0215-23-25,021-P2-G11-no Sample Name.D,E13,SAOH2 2,Drought,Syriaca,0.98
154,PP_SiouxFalls_080220212021-08-0309-51-12,001-P2-A1-no Sample Name.D,,,,,
155,PP_SiouxFalls_080220212021-08-0309-51-12,002-P2-A3-no Sample Name.D,E11,NTHS1 3,Drought,Hybrid,0.7
156,PP_SiouxFalls_080220212021-08-0309-51-12,003-P2-A4-no Sample Name.D,E10,OF1 3,Drought,Syriaca,0.87
157,PP_SiouxFalls_080220212021-08-0309-51-12,004-P2-A5-no Sample Name.D,E9,DGIL 4,Drought,Syriaca,0.98
158,PP_SiouxFalls_080220212021-08-0309-51-12,005-P2-A6-no Sample Name.D,E8,DGIL 2,Drought,Syriaca,0.98
159,PP_SiouxFalls_080220212021-08-0309-51-12,006-P2-A7-no Sample Name.D,E7,Lola1 3,Drought,Speciosa,0
160,PP_SiouxFalls_080220212021-08-0309-51-12,007-P2-A8-no Sample Name.D,E6,Longmont2 5,Drought,Speciosa,NA
161,PP_SiouxFalls_080220212021-08-0309-51-12,008-P2-A9-no Sample Name.D,E5,MCN1 5,Drought,Speciosa,0
162,PP_SiouxFalls_080220212021-08-0309-51-12,009-P2-A10-no Sample Name.D,E4,ADAC1 2,Drought,Speciosa,NA
163,PP_SiouxFalls_080220212021-08-0309-51-12,010-P2-A11-no Sample Name.D,E3,WNC1 3,Drought,Speciosa,0.09
164,PP_SiouxFalls_080220212021-08-0309-51-12,011-P2-A12-no Sample Name.D,E2,ShD1 5,Drought,Hybrid,0.65
165,PP_SiouxFalls_080220212021-08-0309-51-12,012-P2-B1-no Sample Name.D,E1,Ham1 3,Drought,Speciosa,0
166,PP_SiouxFalls_080220212021-08-0309-51-12,013-P2-B2-no Sample Name.D,D16,Taos2 1,Watered,Speciosa,NA
167,PP_SiouxFalls_080220212021-08-0309-51-12,014-P2-B3-no Sample Name.D,D15,OF1 1,Watered,Syriaca,0.87
168,PP_SiouxFalls_080220212021-08-0309-51-12,015-P2-B4-no Sample Name.D,D13,FF1 1,Watered,Syriaca,0.9
169,PP_SiouxFalls_080220212021-08-0309-51-12,016-P2-B5-no Sample Name.D,D12,BG1 1,Watered,Hybrid,NA
170,PP_SiouxFalls_080220212021-08-0309-51-12,017-P2-B6-no Sample Name.D,D10,Ith17 1,Watered,Syriaca,0.99
171,PP_SiouxFalls_080220212021-08-0309-51-12,018-P2-B7-no Sample Name.D,D9,Logan3 1,Watered,Speciosa,NA
172,PP_SiouxFalls_080220212021-08-0309-51-12,019-P2-B8-no Sample Name.D,D8,ISB1-2 2,Watered,Syriaca,0.92
173,PP_SiouxFalls_080220212021-08-0309-51-12,020-P2-B9-no Sample Name.D,D7,SeaWa 2,Watered,Speciosa,NA
174,PP_SiouxFalls_080220212021-08-0309-51-12,021-P2-B10-no Sample Name.D,D6,Ham1 2,Watered,Speciosa,0
175,PP_SiouxFalls_080220212021-08-0309-51-12,022-P2-B11-no Sample Name.D,D5,MCN1 1,Watered,Speciosa,0
176,PP_SiouxFalls_080220212021-08-0309-51-12,023-P2-B12-no Sample Name.D,D4,F1Cox1-8 2,Watered,Hybrid,NA
177,PP_SiouxFalls_080220212021-08-0309-51-12,024-P2-C1-no Sample Name.D,D3,Longmont2 1,Watered,Speciosa,NA
178,PP_SiouxFalls_080220212021-08-0309-51-12,025-P2-C2-no Sample Name.D,D2,CCNE1 1,Watered,Hybrid,NA
179,PP_SiouxFalls_080220212021-08-0309-51-12,026-P2-C3-no Sample Name.D,D1,Ham1 1,Watered,Speciosa,0
180,PP_SiouxFalls_080220212021-08-0309-51-12,027-P2-C4-no Sample Name.D,C16,BRPL1 2,Drought,Hybrid,0.83
181,PP_SiouxFalls_080220212021-08-0309-51-12,028-P2-C5-no Sample Name.D,C14,NTHS1 4,Drought,Hybrid,0.7
182,PP_SiouxFalls_080220212021-08-0309-51-12,029-P2-C6-no Sample Name.D,C13,Taos2 2,Drought,Speciosa,NA
183,PP_SiouxFalls_080420212021-08-0409-54-58,001-P2-F3-no Sample Name.D,,,,,
184,PP_SiouxFalls_080420212021-08-0409-54-58,002-P2-C7-no Sample Name.D,C12,BG1 4,Drought,Hybrid,NA
185,PP_SiouxFalls_080420212021-08-0409-54-58,003-P2-C8-no Sample Name.D,C11,ShD1 3,Drought,Hybrid,0.65
186,PP_SiouxFalls_080420212021-08-0409-54-58,004-P2-C9-no Sample Name.D,C9,CCNE1 3,Drought,Hybrid,NA
187,PP_SiouxFalls_080420212021-08-0409-54-58,005-P2-C10-no Sample Name.D,C8,EDF 3,Drought,Speciosa,NA
188,PP_SiouxFalls_080420212021-08-0409-54-58,006-P2-C11-no Sample Name.D,C7,BG1 3,Drought,Hybrid,NA
189,PP_SiouxFalls_080420212021-08-0409-54-58,007-P2-C12-no Sample Name.D,C6,Longmont2 3,Drought,Speciosa,NA
190,PP_SiouxFalls_080420212021-08-0409-54-58,008-P2-D1-no Sample Name.D,C5,MCN1 3,Drought,Speciosa,0
191,PP_SiouxFalls_080420212021-08-0409-54-58,009-P2-D2-no Sample Name.D,C4,WNC1 4,Drought,Speciosa,0.09
